Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Wind Direction,Windspeed,Pressure,Temperature,Version
Wind Integration National Toolkit,-,Hawaii,21.75167084,-157.8942108,0,-10,-,deg,m/s,mB,°C,v1.00
wind speed,temperature,degrees true,pressure,Year,Month,Day,Hour,Minute,,,,
13.74490107,22.0202092,89.91000631,1000.785,2019,1,5,9,0,,,,
14.37250162,22.01026561,89.62986936,1000.535895,2019,1,5,10,0,,,,
13.75232124,21.88031606,91.33460304,1000.573105,2019,1,5,11,0,,,,
14.1909883,21.82016739,93.50368669,1000.173105,2019,1,5,12,0,,,,
12.82248592,21.79991398,96.22847972,1000.335895,2019,1,5,13,0,,,,
12.2625,21.33016166,85.40906441,1000.273105,2019,1,5,14,0,,,,
10.89144776,21.83031563,89.45147815,1000.085,2019,1,5,15,0,,,,
12.0514449,21.77998073,85.35595432,1000.435895,2019,1,5,16,0,,,,
11.16222096,21.6703141,85.24520316,1000.873105,2019,1,5,17,0,,,,
11.84078674,21.45988529,90.22052259,1001.48679,2019,1,5,18,0,,,,
11.63146736,21.56026672,99.61306398,1002.124,2019,1,5,19,0,,,,
10.89314692,21.52987381,91.74278331,1002.324,2019,1,5,20,0,,,,
11.49169284,21.67034518,94.32284562,1001.96121,2019,1,5,21,0,,,,
10.73147229,21.67037973,97.43146466,1001.36121,2019,1,5,22,0,,,,
10.14353784,21.74027484,99.27212465,1000.735895,2019,1,5,23,0,,,,
10.53196624,21.63991557,100.7840638,999.535895,2019,1,6,0,0,,,,
10.11222032,21.68998073,102.1892256,999.373105,2019,1,6,1,0,,,,
10.01192756,21.78032375,101.2082796,999.173105,2019,1,6,2,0,,,,
9.881282301,21.90029351,104.3917713,999.610315,2019,1,6,3,0,,,,
9.780742185,22.0302951,107.1721612,999.973105,2019,1,6,4,0,,,,
9.310633947,22.05987546,112.6727743,1000.235895,2019,1,6,5,0,,,,
9.161036496,22.07016145,116.5238336,1000.573105,2019,1,6,6,0,,,,
8.800185186,22.20018256,112.9744593,1000.573105,2019,1,6,7,0,,,,
7.27056064,22.29049874,121.8470031,1000.773105,2019,1,6,8,0,,,,
6.170333728,22.33986952,119.7252386,1000.424,2019,1,6,9,0,,,,
5.509707594,22.3401902,114.7381927,1000.273105,2019,1,6,10,0,,,,
4.369709334,22.34018983,111.9750367,1000.310315,2019,1,6,11,0,,,,
2.562880096,21.98050636,133.2376038,999.810315,2019,1,6,12,0,,,,
3.346303444,21.76300177,131.0755574,1000.26121,2019,1,6,13,0,,,,
0.418898318,21.820919,273.2402698,999.56121,2019,1,6,14,0,,,,
2.279543457,21.48023142,299.2718851,1000.36121,2019,1,6,15,0,,,,
1.185491031,21.81101771,284.8577082,1000.29842,2019,1,6,16,0,,,,
1.549373601,21.78021088,305.9484078,1000.849315,2019,1,6,17,0,,,,
1.178368325,21.54059031,58.54964467,1001.424,2019,1,6,18,0,,,,
1.169541813,21.56020362,53.32476185,1001.86121,2019,1,6,19,0,,,,
1.1898098,21.74062444,48.25796851,1002.412105,2019,1,6,20,0,,,,
1.779685363,21.82062438,17.34506506,1002.349315,2019,1,6,21,0,,,,
2.390315793,21.8501806,358.4560501,1001.76121,2019,1,6,22,0,,,,
3.050183826,21.87018219,343.0335728,1001.46121,2019,1,6,23,0,,,,
3.500793307,21.81028948,333.3697218,1000.66121,2019,1,7,0,0,,,,
4.14106414,21.86019014,319.1367179,1000.56121,2019,1,7,1,0,,,,
4.391810394,21.87029711,318.8877788,1001.06121,2019,1,7,2,0,,,,
5.700517394,22.11027557,318.4927329,1001.36121,2019,1,7,3,0,,,,
4.661119452,21.93021079,338.3205675,1001.724,2019,1,7,4,0,,,,
3.490790801,21.94986787,346.1887803,1001.86121,2019,1,7,5,0,,,,
3.990410642,22.0498981,349.4453474,1002.412105,2019,1,7,6,0,,,,
3.950557723,21.93986793,355.7398345,1002.56121,2019,1,7,7,0,,,,
3.810179053,21.82033532,2.84980968,1002.512105,2019,1,7,8,0,,,,
4.351065731,21.74029552,6.297356054,1002.512105,2019,1,7,9,0,,,,
4.610786081,21.76018861,6.596421595,1001.86121,2019,1,7,10,0,,,,
4.680904596,21.67022841,15.22736886,1001.549315,2019,1,7,11,0,,,,
5.121059367,21.64026688,18.12895588,1001.024,2019,1,7,12,0,,,,
5.200701867,21.51998645,21.32650268,1000.912105,2019,1,7,13,0,,,,
5.701375753,21.42998078,19.04985888,1000.86121,2019,1,7,14,0,,,,
6.081011349,21.39029553,22.74346545,1000.86121,2019,1,7,15,0,,,,
6.281059155,21.29029352,31.70164146,1001.024,2019,1,7,16,0,,,,
5.881222139,21.2899213,43.03902386,1001.26121,2019,1,7,17,0,,,,
5.711250723,21.32998078,47.96714191,1001.66121,2019,1,7,18,0,,,,
5.541326356,21.43987392,59.02650554,1002.09842,2019,1,7,19,0,,,,
5.470222086,21.52020925,63.53343376,1002.56121,2019,1,7,20,0,,,,
4.971334258,21.56027489,59.06573288,1002.512105,2019,1,7,21,0,,,,
5.241035237,21.64031415,55.31883668,1001.86121,2019,1,7,22,0,,,,
5.241067428,21.66027404,54.49782122,1001.124,2019,1,7,23,0,,,,
5.740434612,21.65020321,49.0889873,1000.36121,2019,1,8,0,0,,,,
6.450976107,21.67022231,54.41807758,1000.124,2019,1,8,1,0,,,,
6.809725201,21.61060259,56.39172795,1000.46121,2019,1,8,2,0,,,,
7.150200566,21.55031648,62.94198951,1000.86121,2019,1,8,3,0,,,,
5.657565335,21.22098362,62.69118283,1001.324,2019,1,8,4,0,,,,
5.721881799,21.63029552,65.96803047,1001.36121,2019,1,8,5,0,,,,
6.031244582,21.50987392,71.68470665,1001.46121,2019,1,8,6,0,,,,
5.721987276,21.36087472,65.28614261,1001.624,2019,1,8,7,0,,,,
6.230936309,21.59029552,75.28889201,1001.56121,2019,1,8,8,0,,,,
5.931560693,21.51026487,77.57200794,1001.46121,2019,1,8,9,0,,,,
5.481222139,21.52987392,76.7498115,1001.16121,2019,1,8,10,0,,,,
5.310288641,21.19280914,89.86660818,1001.06121,2019,1,8,11,0,,,,
4.587143365,21.12244297,86.71520604,1000.324,2019,1,8,12,0,,,,
5.030856531,21.56061017,83.89824026,1000.273105,2019,1,8,13,0,,,,
4.413574314,21.3427651,91.72795496,999.86121,2019,1,8,14,0,,,,
3.879238238,21.32226064,96.76898924,1000.024,2019,1,8,15,0,,,,
4.462198438,21.51050636,91.80111819,1000.235895,2019,1,8,16,0,,,,
4.75024962,21.75028753,108.9350757,1000.36121,2019,1,8,17,0,,,,
4.311477143,21.54023948,100.8620365,1000.649315,2019,1,8,18,0,,,,
4.260879272,21.35075616,97.41947787,1000.96121,2019,1,8,19,0,,,,
5.108901675,21.32246743,97.72360002,1001.26121,2019,1,8,20,0,,,,
4.969928566,21.93023184,110.5844746,1000.96121,2019,1,8,21,0,,,,
4.700495015,21.92030273,109.5182593,1000.310315,2019,1,8,22,0,,,,
4.700952826,21.89023142,98.96673859,999.36121,2019,1,8,23,0,,,,
4.4318582,21.84026731,101.4277951,998.673105,2019,1,9,0,0,,,,
5.260743627,21.89022475,98.64292504,998.273105,2019,1,9,1,0,,,,
5.221018031,21.85028551,93.74308368,998.673105,2019,1,9,2,0,,,,
5.011042821,21.86998041,89.39585171,998.873105,2019,1,9,3,0,,,,
5.120412392,21.89068049,89.35219674,999.173105,2019,1,9,4,0,,,,
5.520316097,21.92061182,91.73278843,999.173105,2019,1,9,5,0,,,,
4.150787315,21.89033649,91.35617624,999.535895,2019,1,9,6,0,,,,
5.040228184,21.95026885,99.8582554,999.673105,2019,1,9,7,0,,,,
3.929120747,21.6209085,92.61027273,999.873105,2019,1,9,8,0,,,,
3.370499682,21.74987551,110.5688375,999.773105,2019,1,9,9,0,,,,
3.268465848,20.00346113,144.3114701,999.449315,2019,1,9,10,0,,,,
3.111398583,21.20018092,132.2463822,999.36121,2019,1,9,11,0,,,,
1.861182616,21.28024571,119.955617,999.06121,2019,1,9,12,0,,,,
3.148432915,19.93341068,21.91440639,998.86121,2019,1,9,13,0,,,,
1.807661795,20.60194967,80.67705589,998.812105,2019,1,9,14,0,,,,
1.040735379,19.83472405,225.525892,999.30021,2019,1,9,15,0,,,,
1.849534358,20.18346486,349.2069693,999.312105,2019,1,9,16,0,,,,
0.581510194,20.78426059,239.3035262,999.849315,2019,1,9,17,0,,,,
0.649702689,20.16264019,284.2400162,1000.36121,2019,1,9,18,0,,,,
2.451510101,20.93117529,268.6811521,1000.649315,2019,1,9,19,0,,,,
2.966172322,19.7383766,26.2941911,1000.888315,2019,1,9,20,0,,,,
2.263167047,19.95635406,49.2328421,1000.888315,2019,1,9,21,0,,,,
3.692620795,20.26827563,13.52913435,1000.163,2019,1,9,22,0,,,,
4.176323307,20.52780697,19.77136524,999.33742,2019,1,9,23,0,,,,
3.326018499,20.9263271,370.9806878,998.249315,2019,1,10,0,0,,,,
