Project,Scenario,Dollar_year
Standard_scenarios_2020,MidCase,2019$
state,country,t,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,curt_solar,curt_wind,co2_rate_avg_gen,co2_rate_avg_load_enduse,co2_srmer_enduse,co2_lrmer_enduse,co2_gen_mmt,energy_cost_busbar,op_res_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,op_res_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh,battery_MW,biomass_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,rps_all_shadow_price,rps_all_f,rps_solar_shadow_price,rps_solar_f,rps_wind_shadow_price,rps_wind_f,ces_shadow_price,ces_f
MS,usa,2018,48752267.2,48168811.5,45760370.9,0.0,47792508.3,0.0,0.0,583455.8,0.05,0.0749,0.15,27732.44,10542.2,0.0,0.0,388.7,425.4,753.5,404.4,22.1,35.05,0.07,5.83,0.0,40.95,37.94,0.08,6.51,0.0,44.53,57016259.7,376303.3,11020266.0,5331736.4,0.0,190309.1,40042591.4,0.0,55053.5,0.0,0.0,0.0,0.0,0.0,0.0,371339.7,4963.6,0.0,0.0,0.0,0.0,0.0,1444.0,0.0,0.0,3.3,7810.4,0.0,1239.2,0.0,0.0,1401.0,2256.0,0.0,160.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,usa,2018,16130325.0,15776157.7,14987349.8,0.0,12670701.1,0.0,0.0,354167.3,0.05,0.075,0.1709,30980.47,3003.4,0.0,0.0,358.3,351.1,649.0,27.9,7.4,30.58,0.01,5.04,0.0,35.63,33.06,0.01,5.49,0.0,38.56,20416583.8,3105456.4,0.0,6618094.9,0.0,0.0,3965.6,0.0,12291.0,10667639.5,0.0,0.0,3058142.9,0.0,0.0,33459.3,13854.3,0.0,0.0,9136.4,0.0,0.0,2514.1,0.0,0.0,9.6,40.0,0.0,434.3,0.0,2785.8,0.0,52.0,0.0,17.0,0.0,783.5,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
NC,usa,2018,142853128.1,142187284.3,135077920.1,153140.8,133143777.8,0.0,153140.8,512702.9,0.05,0.0749,0.15,30657.43,32853.7,0.0,0.0,389.0,399.6,791.1,254.1,51.3,36.64,0.05,6.79,0.0,43.48,39.69,0.06,7.59,0.0,47.34,132253945.3,9043506.6,41286073.4,39634438.9,0.0,791.2,35615998.5,0.0,254909.0,4539090.9,0.0,1756194.0,612492.0,0.0,0.0,8171010.2,260004.4,122942.8,0.0,0.0,0.0,269.4,10481.4,0.0,0.0,172.2,5233.0,0.0,5987.2,0.0,1830.3,5149.6,271.1,86.0,3941.4,0.0,208.0,0.0,1032.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
ND,usa,2018,14764692.8,14255467.5,13542694.1,0.0,2909534.1,0.0,0.0,509225.3,0.05,0.0749,0.15,22650.69,2987.2,0.0,1286.3,577.3,613.0,790.6,295.0,23.0,31.71,0.07,4.59,0.0,36.36,34.36,0.08,5.07,0.0,39.51,39837729.0,11345933.4,0.0,20559764.5,0.0,2812.7,1739.6,0.0,125035.7,1821547.2,0.0,0.0,11272229.1,0.0,0.0,0.0,73704.3,0.0,0.0,5980895.9,0.0,0.0,4023.1,0.0,0.0,50.8,5.3,0.0,519.6,0.0,508.0,0.0,55.7,0.0,0.0,0.0,3221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,usa,2018,33020847.9,32681306.4,31047241.1,0.0,26392125.2,0.0,0.0,339541.5,0.0499,0.0749,0.136,8174.1,7988.7,0.0,0.0,495.1,550.4,813.2,153.9,13.4,32.53,0.06,1.88,0.0,34.47,35.28,0.07,2.11,0.0,37.45,27154023.7,6289181.2,6286280.0,13027187.4,0.0,63247.7,346849.5,0.0,33100.0,1079838.7,0.0,28339.2,6162608.0,0.0,0.0,42248.1,84325.3,0.0,0.0,0.0,0.0,6.4,3793.1,0.0,0.0,50.7,338.2,0.0,1238.3,0.0,283.6,770.0,489.8,0.0,18.0,0.0,1700.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NH,usa,2018,11738250.2,11648802.8,11066362.7,0.0,10979170.6,0.0,0.0,89447.4,0.05,0.0749,0.15,19939.44,2630.8,0.0,0.0,57.6,54.8,580.2,70.2,0.9,42.8,0.07,4.27,0.0,47.14,46.35,0.08,4.75,0.0,51.19,14982032.4,669632.2,10216421.4,471519.8,0.0,15.1,790169.0,0.0,0.0,1425029.5,0.0,1409245.4,561856.5,0.0,0.0,0.0,107775.7,0.0,0.0,0.0,0.0,199.6,486.4,0.0,0.0,77.8,1258.0,0.0,0.0,0.0,493.0,1251.4,448.0,0.0,0.0,0.0,183.1,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
NJ,usa,2018,84749111.1,83852757.5,79660119.6,783623.2,79754739.0,41443.6,742179.6,112730.4,0.05,0.0749,0.15,29028.56,22482.2,0.0,0.0,236.3,277.2,774.7,298.3,19.1,35.35,0.07,7.26,0.0,42.68,38.36,0.07,8.28,0.0,46.71,81476776.4,4098018.4,28575632.8,0.0,0.0,33100.2,46827718.1,0.0,532862.0,0.0,0.0,786275.2,18355.8,0.0,0.0,1260160.7,2819502.0,587483.3,35686.5,0.0,44.6,176.2,609.0,0.0,0.0,1972.7,8735.4,0.0,2685.3,0.0,0.0,3500.2,332.7,420.0,645.7,0.0,7.6,89.2,5040.0,0.0,0.0,0.17,0.0,0.03,0.0,0.0,0.0,0.0
NM,usa,2018,26266536.5,25856014.1,24563213.4,3522.5,17090068.2,3522.5,0.0,406999.9,0.05,0.0749,0.1353,31488.54,5474.4,0.0,3623.2,656.7,668.8,608.0,353.8,21.5,32.27,0.04,6.02,0.0,38.33,34.93,0.04,6.67,0.0,41.64,32783286.0,8765946.0,0.0,18031198.6,0.0,221193.4,5510937.4,0.0,48896.2,202105.9,0.0,0.0,6962452.8,0.0,2184.6,1538488.0,262820.6,0.0,3008.5,0.0,7.2,0.0,2836.5,0.0,1.0,134.2,1414.6,0.0,983.7,0.0,79.9,0.0,524.0,0.0,561.4,0.0,1813.9,14.4,0.0,0.0,0.0,0.12,0.0,0.02,0.0,0.03,0.0,0.0
NV,usa,2018,38803503.5,38348338.5,36430921.6,0.0,32256699.6,0.0,0.0,455165.0,0.0499,0.0749,0.132,36710.93,9230.1,0.0,0.0,328.9,367.5,584.3,196.0,13.0,34.05,0.01,8.19,0.0,42.25,36.83,0.01,9.04,0.0,45.89,39379650.1,6091638.9,0.0,3015467.6,0.0,0.0,23741822.5,0.0,916.6,2175969.0,4311960.0,41875.4,408604.6,0.0,542931.9,4505479.2,634623.2,0.0,0.0,0.0,0.0,9.8,740.4,0.0,178.5,330.4,5502.0,0.0,1177.6,586.2,829.6,0.0,340.0,0.0,1725.8,0.0,150.0,0.0,0.0,1100.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0
NY,usa,2018,155125313.6,153123945.5,145467748.2,1451691.6,143981497.1,20675.4,1431016.3,549676.3,0.05,0.0749,0.155,26683.59,35652.6,0.0,0.0,179.3,204.9,623.8,348.1,27.3,38.63,0.04,5.86,0.0,44.55,41.87,0.04,6.63,0.0,48.55,153624468.2,9142448.6,43305045.0,7532560.2,0.0,2211643.2,43490505.7,0.0,114439.7,26214488.3,0.0,1948294.9,6779557.5,0.0,0.0,513648.9,1849242.1,1124109.4,17651.4,18523282.0,26.0,392.4,1349.4,0.0,0.0,1363.4,9037.6,0.0,3062.1,0.0,4440.4,5403.0,12208.1,1448.6,261.3,0.0,2093.6,52.0,17383.2,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
