"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=1,0&geo=00fvvvvvvvvv&endsec=2&linechart=ELEC.PRICE.CT-IND.A&columnchart=ELEC.PRICE.CT-IND.A&map=ELEC.PRICE.CT-IND.A&freq=A&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Mar 21 2023 12:16:37 GMT-0600 (Mountain Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,,,,,,,,,,,,
"All sectors",,"ELEC.PRICE.US-ALL.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial",,"ELEC.PRICE.US-IND.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial : Florida","cents per kilowatthour","ELEC.PRICE.FL-IND.A",5.18,5.23,5.41,5.84,6.46,7.71,7.76,8.25,9.32,8.85,8.55,8.04,7.61,7.90,8.22,7.69,7.83,7.65,7.65,7.15,7.65,9.36
"Industrial : Georgia","cents per kilowatthour","ELEC.PRICE.GA-IND.A",4.28,3.95,4.02,4.43,5.28,5.38,5.53,6.67,6.12,6.22,6.60,5.98,6.27,6.64,5.87,5.84,5.96,6.00,6.17,5.77,6.49,9.09
"Industrial : Maryland","cents per kilowatthour","ELEC.PRICE.MD-IND.A",4.37,4.01,4.89,5.99,7.01,8.14,9.41,10.38,9.96,9.58,8.76,8.09,8.36,9.04,8.53,7.89,8.37,8.23,7.80,7.81,8.46,10.10
"Industrial : North Carolina","cents per kilowatthour","ELEC.PRICE.NC-IND.A",4.61,4.70,4.79,4.88,5.04,5.23,5.47,5.54,5.99,6.17,6.01,6.42,6.45,6.50,6.51,6.31,6.20,6.33,6.30,6.31,6.14,6.89
"Industrial : South Carolina","cents per kilowatthour","ELEC.PRICE.SC-IND.A",3.86,3.85,4.00,4.13,4.55,4.71,4.83,5.37,5.79,5.74,5.94,6.02,6.01,6.29,6.05,6.09,6.19,6.10,6.11,5.98,6.07,7.26
"Industrial : Virginia","cents per kilowatthour","ELEC.PRICE.VA-IND.A",4.16,4.13,4.23,4.27,4.46,4.69,5.07,5.82,6.91,6.66,6.49,6.72,6.63,6.89,6.95,6.56,6.51,6.86,6.85,6.28,6.49,8.24
"Industrial : West Virginia","cents per kilowatthour","ELEC.PRICE.WV-IND.A",3.74,3.81,3.81,3.83,3.85,3.71,3.95,4.20,5.24,5.86,6.18,6.33,6.20,5.87,6.09,6.57,6.64,6.40,6.02,6.09,6.07,6.74
"Industrial : East South Central",,"ELEC.PRICE.ESC-IND.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial : Alabama","cents per kilowatthour","ELEC.PRICE.AL-IND.A",3.79,3.82,3.98,4.15,4.52,4.90,5.27,6.11,5.96,6.01,6.25,6.22,5.95,6.15,6.03,6.04,6.16,6.01,5.95,5.87,6.33,7.83
"Industrial : Kentucky","cents per kilowatthour","ELEC.PRICE.KY-IND.A",3.04,3.09,3.21,3.34,3.60,4.05,4.47,4.82,4.92,5.05,5.33,5.35,5.66,5.68,5.48,5.67,5.72,5.68,5.57,5.31,5.95,7.63
"Industrial : Mississippi","cents per kilowatthour","ELEC.PRICE.MS-IND.A",4.40,4.40,4.48,4.83,5.37,5.94,5.75,6.56,6.61,6.32,6.53,6.24,6.34,6.60,6.56,5.79,5.99,6.00,5.85,5.63,5.95,6.99
"Industrial : Tennessee","cents per kilowatthour","ELEC.PRICE.TN-IND.A",4.05,4.15,4.29,4.46,4.73,5.17,5.19,6.29,6.76,6.58,7.23,7.08,6.29,6.40,6.17,5.68,5.83,5.68,5.68,5.33,5.51,6.88
"Industrial : West South Central",,"ELEC.PRICE.WSC-IND.A",,,,,,,,,,,,,,,,,,,,,,
"Industrial : Arkansas","cents per kilowatthour","ELEC.PRICE.AR-IND.A",4.43,4.01,4.04,4.16,4.74,5.24,5.25,5.89,5.76,5.44,5.63,5.76,6.04,6.02,6.23,6.08,6.07,5.64,6.13,5.89,6.57,7.38
"Industrial : Louisiana","cents per kilowatthour","ELEC.PRICE.LA-IND.A",5.58,4.42,5.57,5.82,6.71,6.87,6.77,7.94,5.25,5.84,5.69,4.76,5.92,6.05,5.41,5.08,5.48,5.35,5.23,4.88,6.21,7.47
