P [kW],Q [kVA]
38.9,300
12.3,209
-7.6,17.8
-7.3,17.3
-8.2,19.6
-7.7,17.9
-8.3,19
-7.5,16.9
-8.2,17.7
-8.6,18.6
-8.4,16.9
-7.8,16.2
-7.3,15.6
-5.1,13.7
-5.2,12.7
-5.3,13.2
-5.7,14.4
7.78,230
503,702
168,411
1100,846
549,812
198,682
28.5,391
13.3,203
5.07,289
1.46,150
-7.8,18.7
-6.6,52.1
43,279
17.1,215
65.7,641
-7.3,38
-8.5,19.4
-7.5,16.7
13.3,97.8
156,803
4.73,248
-8.6,19.2
-8.8,17.1
-10,18.2
95.7,315
397,802
650,813
887,831
773,825
867,832
919,836
1280,869
420,700
45.2,89.1
480,810
139,696
-7.5,18
-7.1,17.6
-7.3,17.2
-7.3,16.6
-1.3,119
-7.8,16.3
-7.9,15.5
-8.7,17.3
-7.7,16.3
-9.4,18.3
-9.3,19.2
-8.8,19.1
-8.7,17.9
-8.6,18.7
-7.9,16.1
-7.3,16
-7.6,16.5
-8,16.6
-8,17.3
-7.6,16.7
-8.5,18.1
-8.2,18.3
-8,17.2
-7.5,16.7
-7.9,16.8
-7.7,16.9
-10,20.8
-8.8,19.1
99.2,331
209,799
-5.6,50.7
-7.7,15.8
-8.6,16.9
30.1,101
1060,844
494,810
496,810
561,814
624,819
1280,753
31.5,35.1
-0.0000059,0.00000338
,
,
,
,
,
,
,
,
,
,
,
,
-9.9,14.3
-7.7,13.3
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-10,13.4
-9.8,19.1
-10,21.6
-9.2,19.8
-9.3,20.3
-9.9,21.5
-9.2,20.8
-9.2,20.2
-8.3,20.2
14.3,457
30,557
18.1,495
34.3,562
6.9,260
-8.3,18.1
35.9,746
-5.3,176
760,826
765,827
657,823
405,751
700,826
301,571
39.9,207
118,562
228,732
-7.9,82.7
116,217
705,819
683,818
698,819
247,481
-7.4,23.4
122,490
48.2,341
42.4,560
181,611
758,832
621,826
576,821
644,825
798,833
92.3,408
577,708
215,401
67.2,728
-7.7,17
-7.4,16
-7.1,14.7
-5.5,12.9
366,509
307,801
32.2,794
4.63,448
52.4,790
80.5,308
73,180
-8.6,18.7
37.9,397
-7.5,16.4
-7.9,17.3
-7.3,16.2
-7.4,16.5
-7.4,16.9
-7.5,17
-7.9,17.1
-8,19.1
-7.8,18.8
-7.7,18.3
133,140
885,833
218,644
-8,19.4
,
-7.2,15.7
-7.7,16.4
133,245
805,824
167,526
-4.7,131
-7.4,17.6
-7.8,17.8
-7.5,17.1
35.6,233
159,684
443,812
101,436
449,811
112,723
179,754
115,520
84,800
-0.79,140
-7.5,16.9
-7.9,17.4
-7.4,15.3
112,403
416,803
1030,835
845,820
390,795
1380,859
1190,844
885,822
345,796
483,803
81.1,300
172,407
173,355
102,538
397,800
131,453
538,736
720,820
627,812
612,709
146,643
16.3,137
-7.3,16.5
29.7,221
636,815
605,812
138,461
50.6,592
-7.1,134
-7.6,18.1
-7.4,17.8
-7.1,16.8
-8.3,19.3
-8.2,30.8
12.7,260
-3.2,118
-8,17.3
-8.3,19.2
-7.5,17.3
-7.7,17.5
-11,25.4
-7.4,16.6
-8,17.7
-2.6,41.7
82.5,798
-7.7,190
-1.6,344
-1.2,438
-2.9,173
-7.2,14.4
-7.4,16.5
-7.8,17.6
-8,17.7
-7.4,16.1
-7.7,14.7
-7.4,15.1
-7.3,15.1
-8,16.7
-8.1,17.1
412,540
720,821
720,821
698,817
867,830
956,836
764,823
783,824
825,828
373,731
159,517
285,802
579,816
449,807
285,558
577,809
111,582
-8,18.6
-0.65,182
270,419
322,795
353,797
540,807
499,643
29.5,603
-7.5,17.6
-7,17.1
120,594
107,565
74.8,545
49.6,798
7.09,441
22.6,677
20.2,685
-8.3,113
-7.6,17.1
-7.4,16.2
-8,17.2
-7.5,16.4
-7.8,17.3
-8,17.3
1.45,194
-1.7,115
-8.2,70.2
-7.7,17.2
-7.6,17.4
-8.4,19
-8.1,18.4
-7.6,16.5
-7.8,17
-10,23
-8,17.8
-8.6,18.4
-8,17.9
254,300
421,815
155,520
437,810
611,819
655,820
499,739
994,838
196,670
87.6,699
47.7,608
139,794
6.67,246
99.8,792
69.4,648
32.6,406
-6.3,167
-8.4,25.9
-7.7,16.3
-7.7,15.7
-8,16.7
-7.8,15.8
345,770
51.6,689
13.8,453
-11,20.7
861,699
824,836
306,745
701,822
1130,852
746,794
452,784
1150,845
1340,864
1400,873
1360,863
1180,841
1150,839
1200,845
1310,856
1230,850
1390,864
1370,862
1270,853
1330,857
860,824
1050,836
1380,862
1370,861
1270,835
1070,706
1430,865
1480,869
1470,868
1440,865
1510,870
1510,874
1480,871
1470,870
1500,872
1410,863
1220,848
1180,847
1170,845
545,807
422,802
998,833
764,819
1140,846
1370,862
210,625
21.4,388
2.01,408
-8,18.1
102,195
446,806
560,811
658,815
317,798
186,790
388,792
347,790
671,802
397,619
748,809
472,795
119,688
83.1,785
105,789
20.9,328
368,606
1300,864
1200,860
616,820
544,812
330,804
82.1,798
-7.4,17.1
-7.4,15.9
-7.9,16.1
20.4,414
-7.7,266
-8.1,14.8
-7.9,14.1
-4.4,254
-8.7,101
-7.6,13.7
-8.6,15.1
-8.2,15.8
-8.2,15.3
-8.7,15.5
-8.3,16.2
-9.6,16.8
-9.5,17
-9.5,17.8
-9,18
-9.8,17.7
-9.1,17.4
-7.4,16.7
-6.1,15.2
-6.2,15.9
-6.4,15.9
-5.8,15
-6.5,16.2
-9.4,19.7
-8.3,18
-5.7,14.8
-6.9,16.2
-10,20.7
-6.4,16
-7.8,17.5
-9.9,21.2
-9.9,21.3
-9.9,20.8
-10,20.4
-10,20
-10,21
-11,21.5
-11,22.4
-11,22.1
-10,22.2
-6.4,14.3
-7.2,15.1
-7,15.3
-12,21
-12,22
-14,26.5
-11,20.9
-10,20.2
-12,22.7
-11,21.1
-13,24.6
-11,20.9
-9.6,19.8
-9.6,20.3
-2.3,196
13.3,645
9.01,446
-5.2,14.6
-5.2,15.2
-5.3,14.4
-5.5,15.2
-5.8,15.7
-5.8,15.6
-5.7,16
-9.1,22
-9.5,23.1
-7.7,19.5
-5.7,16.4
-8.5,20.2
-9.8,21.6
-10,21.6
-9.5,20.7
-9.5,21.5
-9.7,20.9
-7,16.4
-5.2,14.2
-6.6,16.4
-9.1,20.3
-5.8,15.5
-5,15.2
-9.2,20.6
-8.9,21.2
-9,22.3
-9,22.2
-9,22.3
-9.4,22.2
-6,17.7
-5.7,16.1
-5.3,16.1
-9.4,21.5
-9.4,21.8
-9.7,21.5
-9.6,21.4
-9.1,21.1
-9.6,20.8
-9.4,20.8
-9.1,20.6
-9.6,20.6
-9.2,20.3
-9.2,20.4
-9.4,21
-9.2,21
-9.3,20.5
-8.8,21.1
-9.3,21.2
-7,17.6
-5.4,15.1
-5.5,15.1
-6.9,16.9
-9.3,21.4
-9.4,21.3
-9.5,21.9
-9.3,21.6
-9.1,21.4
-5.5,15.2
-5.5,15.8
-7.2,17.7
-9.7,21.3
-9.2,20.9
-9.3,20.4
-9.3,20
-8.8,20.2
-9.1,20.6
-9.2,21
-8.6,21.2
-7.1,18.9
-5.8,16.5
-5.4,16.5
-5.3,16
-5.2,15.4
-4.9,15.2
-4.9,15.1
-4.7,14.8
-5.1,15.7
-5.2,15.9
-7,19.4
-9.4,23.3
-6.2,18.9
-5.2,17.2
-6.4,18.1
-9.4,23.1
-9.2,23
-9.5,22.7
-9,22.2
-9.3,22
-8.7,21
-5.3,15
-5.3,16.1
-5.7,17
-9.5,23
-9.2,23.1
-9.2,23
-9.3,22.9
-7.3,19.4
-5.1,15.4
-5.7,16.1
-5.8,16.7
-7,18.9
-10,23.4
-10,23.4
-9.8,23.2
-9.8,23.4
-10,23.5
-6.7,18.4
-6,17.3
-6.5,17.3
-10,22.3
-10,22
-10,21.7
-9.5,22.1
-9.7,22.3
-9.4,22.3
-9.4,22.5
-9.2,22.8
-9.3,22.9
-8.9,22.7
-9.2,22.8
-9,22.6
-9.4,22
-9.1,21.6
-7,18.2
-5.9,16.1
-5.3,16.5
-6,17.2
-8.4,19.7
-9.6,22.4
-9.8,22.6
-9.8,22.7
-10,22.9
-9.7,23.1
-10,22.4
-11,21.8
-9.8,21.7
-10,22.7
-9.8,22.3
-9.5,22
-9.1,21.4
-8.8,21
-5.4,14.6
-5.4,15.1
-5.8,15.5
-5.9,16.5
-5.3,15.4
-5.7,15.6
-5.5,15.9
-8.5,19.8
-9.5,22.8
-6.7,18.1
-5.7,17.5
-6.4,18.4
-10,25.1
-7.3,20.5
-5.5,17.5
-9.1,23
-9.9,23.7
-9.9,23.3
-6.3,17.5
-5.5,15.7
-9.7,20.7
-7.6,19.2
-5.9,16
-5.3,15.3
-5,15.1
-9.9,23
-9.5,22.5
-9.2,22.8
-5.9,17.8
-5.5,17.2
-1.3,105
44.8,553
40.8,720
-5.2,90.4
-5.3,17.5
-5.7,18.2
-6.1,18.1
-6,17.9
-6,18.5
-6.6,17.2
-6.6,17.1
-5.8,16.4
-9.9,22.6
-11,23.6
-11,26.2
-10,22.5
-11,24.6
-10,25.2
-6.5,19.6
-5.5,18.6
-5.4,15.1
-5.1,14.5
-5.3,13.8
-6.4,16.1
-9.7,22.2
-9.8,22.5
-10,23.1
-9.8,22.2
-9.6,22.5
-5.9,16.5
-6.1,16.6
-6.2,16.8
-7.2,18.8
-9.6,22.5
-7.5,18.7
-5.6,16.2
-5.2,16.6
-7.6,20.2
-9.8,22.6
-9,21.6
-6.9,18.4
101,202
30.8,124
-0.76,41.7
493,754
437,689
105,374
219,658
150,706
131,515
552,818
916,835
394,695
408,787
25.4,195
49.8,403
237,806
415,811
333,810
294,809
452,811
716,822
869,828
735,818
437,805
47.9,324
-8.2,20.2
-7.5,19.7
-7.9,21.5
18,233
-8.6,21
1.93,117
-9.2,22
-1.3,102
47.4,519
-10,22.4
-9.8,23.4
-9.1,21.2
-8.9,20.6
-9.2,20.4
26.5,391
55.4,554
83.1,728
44.4,455
19.9,557
-5.3,142
63.4,723
127,794
15.5,186
-8.4,21.5
-7.8,19.6
-8.5,21.9
-9.9,26.1
-8.1,19.6
-8.7,21.4
-8.4,20.1
52.5,406
46.7,724
-7.6,77
-8.3,20.3
-8.4,20.6
298,293
837,827
293,803
294,803
369,806
804,824
800,823
727,818
594,812
327,514
-8.6,18.3
-7.8,18.5
-7.3,17
292,670
675,812
711,815
1050,837
955,451
674,30.4
288,16.7
231,15
165,14.1
145,13.5
131,13.6
209,15.4
314,17.8
302,18
17,14.6
-8.8,19.8
97.5,18
299,16.5
10.8,16
-7.6,17.8
3.11,15.4
-5.7,15.3
-8.1,14.5
-8.6,12.6
-7.9,16.4
-8.1,18.5
41.4,14
10.2,17.4
-9.1,19.6
-8.4,18.8
-7.8,17.4
-7.6,17
-7.7,17.4
12,15.5
-8.3,18.4
5.73,14.3
44,12.5
61.1,12.5
77.4,12.8
71.7,12.8
116,12.9
51.1,11.4
169,13.1
123,12.4
115,11.6
143,12.3
251,13.2
153,12.1
114,10.8
55.5,10.5
96.8,11
59.9,12
70.2,12.3
43.3,11.9
138,13.3
96.1,16.2
-8.5,18.8
-9.6,20.1
-10,19.8
-8.9,17.1
-11,21.9
-9,16.8
-9.8,16.9
-9.3,16.5
-9.8,16.6
-10,17
-8.8,16.5
-6.9,14.6
-6.3,15
-7,15.2
-6.4,14.6
-5.3,13.3
8.89,14.1
116,13.3
73.5,12.1
60.6,12
212,14.9
401,21.1
15.2,16.6
-9,20.3
-8.4,19
-8.2,18.3
-8.7,19.6
-8.8,18.8
-9,19.2
-10,21.4
-6.6,17.2
-9.2,19.4
-9.5,18.8
-8.8,17.1
-8.9,18
-9.3,19.3
-9,17
45,14.2
288,15
153,15.2
265,16.6
144,15.4
-8.1,12.8
-8.3,19.7
-8.5,20.5
-9,21.2
-7.6,17.1
1.33,19
465,28.2
165,15.3
-2.3,18.3
-8.4,20.6
-8.6,20.9
-8,19.2
-8.5,20.7
658,40.6
738,39.8
733,37.3
724,42.1
364,26.5
7.56,19.8
167,12.5
248,15.9
177,15.7
13.1,16.4
33.8,12.7
8.07,14.9
20.6,12.1
8.76,13
-0.49,15.7
11.8,13
26.8,12
-3.2,16
5.06,16.4
9,16.2
106,14.6
379,24.4
730,41.4
868,50.2
781,42
215,18.7
544,33
376,22.9
360,22.7
8.83,16.7
127,13
70.8,12.8
51.3,13.8
92.5,13.3
8.32,18.3
-7.5,18.2
-4,16.2
99.9,12.5
143,13.4
97.4,12.7
107,13.4
225,18.9
373,34.4
878,51.1
841,49.1
726,41.7
300,29
-9.6,21.1
533,36
38.6,19.7
128,21.4
62.5,21.2
669,35.7
825,54.8
581,34.3
638,37.3
448,25.9
425,26
425,29.8
461,30
803,46.8
625,37.9
69.5,16.4
95.6,15.9
425,25.2
779,39.7
1260,72.3
22.8,22.9
-8.7,20.5
-8.8,20.8
-9.1,21.2
-9.4,21.2
-8.8,19.7
-8.7,18.7
159,14
768,44
1350,83.9
1340,83.8
1480,92.4
705,54.1
-7.8,17.1
-7.8,16.9
-8,18
-8.2,18.5
-8.2,18.1
-8.3,18.1
-9,19
-8.7,18.4
-9.4,19.8
-9,19.5
-9.1,19.8
-9.7,20
-9.8,20.4
-10,20
-9.7,18.9
-11,20.5
-11,20.8
-10,19.2
65.6,15.8
11.9,15.9
-6.6,17.9
-6.6,17.4
-5,14.8
-5.8,14.1
-5.9,14.4
299,26.3
1220,72.8
1220,72.9
1340,81.1
1410,88.5
1500,98.6
1440,92.9
1400,89.3
1400,89
1050,65.6
971,61.5
1310,81.4
1220,74.3
1010,62
958,58.4
120,21.8
300,20.3
601,28.4
660,33.4
632,34.3
787,47.2
1210,72.3
1330,80.6
1040,57
850,46.4
1270,77.8
774,48.7
629,41.6
729,43.7
361,24.8
393,28.1
344,23.9
465,28.3
728,39.7
802,44.4
1190,68.7
1440,87.9
1470,90.3
1350,86.2
1510,94.2
1500,94.2
1250,72.7
715,40.2
523,25.4
499,22.4
778,35.2
547,28
251,25.7
273,19.9
225,16.3
278,18.3
68.1,17.1
196,17.7
207,17.8
-8.1,19.3
-8.6,21.2
-8,19.7
-8.5,21
-8.4,20.3
72.9,14.4
12.9,20.2
17.1,17.2
152,16.8
156,16.4
95.4,13.3
115,13.7
265,17.1
624,34.5
335,19
148,12.5
107,12.3
38,14.4
68.6,12.6
45,11.3
29.5,15
36,12.9
144,14.5
349,19.7
245,17.4
106,14.5
26.1,14.8
-8.1,18.1
-8,18.5
-8.9,20.2
-8.3,18.6
-8.3,17.9
-8.4,17.8
-10,22.2
-8.1,16.9
-8.7,17.1
-9.9,20.2
-7.5,17
-5.1,13.7
-5.5,14.4
-5.8,14.4
189,24.5
1430,88.5
161,26.1
-7.5,16.4
-7.5,16.7
-7.7,16.6
-7.7,16.8
-7.8,17.2
-8.3,17.4
-8,17.6
-8.3,17.3
-8.2,17.8
-8.5,17.8
-5.7,16.6
-5.4,15.9
-5,15.5
-5.3,15.5
-5.4,15.5
-5.1,14.2
-5.3,15.2
-5.2,15.3
-5.4,15.5
-5.5,15
-5.5,15.9
-5.3,15.2
-5.4,15
-6.2,16.6
-5.2,15.1
-5,15.1
-5.2,14.8
-5,15.3
-5.5,16.2
-9,21.7
-5.1,15.8
-5.4,16.7
-5.6,17.2
-5.6,16.9
-10,22.9
-9.4,22.8
-6.5,18.2
-5.5,15.4
-5.3,15.7
-5.3,16
-5.6,15.6
-5.5,14.8
-6,15.9
-6.6,16.8
-9.7,21.9
-5.7,14.5
-5.1,14
-5.4,15
-5.4,15
-5.6,15.3
-5.1,15.3
-5,14.6
-5.2,15.4
-5.9,16.3
-9.4,21.1
-9.1,21.1
-7.2,18.3
-5.5,16
-5.3,16.1
-5.5,15.8
-5.4,16
-7.9,19.2
-9.3,20.7
-9.1,19.6
-8.7,19.4
-9.2,19.9
-9.3,20.6
-9.4,20.5
-9.4,21.1
-9.5,21
-7.5,18.9
-5.3,13
-5.1,11.2
-5.3,14.6
-5.2,14
-5,14.4
-5.2,14.7
-5.1,14.7
-5.2,14.8
-5.4,15.6
-5.4,16
-8.7,20.7
-9.8,22.2
-9.3,21.5
-8.8,21.2
-5.6,15
-5.2,14.5
-5.4,14.4
-5.6,15.2
-7,16.1
-6.5,14.8
-5.9,11
-6.2,11.6
-5.9,12.1
-4.8,10.5
-4.6,10.5
-5,13.1
-5.1,14.7
-4.9,15.1
-4.8,14.9
-4.9,15.4
-5,15.8
-5.1,15.7
-5,14.9
-5.2,16
-5.3,16.1
-5.2,15.5
-5.3,15.7
-5.7,15.8
-5.2,15.8
-5.3,14.8
-9.2,20.8
-6.2,15.9
-5.5,14.8
-5.3,14.3
-5.3,14.7
-5.4,15.1
-4.9,14.8
-5.3,15.9
-5.2,15.9
-5.1,15.4
-5,14.7
-4.7,14.7
-4.8,14.8
-4.8,15.3
-4.9,15.5
-5,15.9
-5.1,15.6
-5.1,15.6
-5.3,16.5
-5.3,16.2
-5.2,15.4
-5.5,15.9
-5.3,15.7
-5.2,14.9
-5,14.3
-9.7,21.1
-6,16.6
-5.5,15.6
-5.4,15
-5.6,15.6
-5.5,15.9
-5.2,15.3
-4.6,14.3
-4.8,14.9
-4.8,14.7
-4.6,14
-4.9,14.6
-4.6,13.6
0.00000245,0.000000999
-6.7,16.6
-8.9,22.1
-9.4,23.5
-8.9,22.4
-6.9,19.2
-5.2,16.1
-4.8,15.2
-4.9,15.2
-4.9,14.5
-4.7,14.1
-4.7,14.1
-4.9,13.9
-6.9,18
-9,20.2
-8.6,19.8
-8.4,20
-8.6,19.2
-7.1,17.4
-4.8,14.7
-5.2,15.5
-4.7,14.7
-4.7,14.6
-4.9,15.3
-5.1,15.7
-4.8,15.3
-5.1,16.1
-5,16.2
-4.8,15.4
-4.7,15.5
-4.9,15.9
-5.1,15.4
-5.2,15.2
-8.6,19.7
-8.3,19.4
-7.3,18.2
-5.1,14.6
-5.1,13.5
-4.9,11.8
-4.4,10.7
-4.6,10.8
-4.6,14
-4.7,14.6
-5,15.1
-4.5,15.2
-4.8,15.6
-4.9,15.1
-4.9,15.3
-7.2,18.7
-7.6,19.8
-5,16
-5,15.9
-4.8,15.5
-5.1,15.2
-7.6,18.9
-8.5,20.2
-8.4,20
-6.4,16.6
-4.7,13.8
3.42,29.2
352,170
702,40.7
393,22.4
430,25.9
655,35.6
522,30.7
571,39.4
967,50.1
476,29.7
-7.3,16.6
-7.2,16.4
-7.3,16.5
-7.5,16.8
-7.5,16.7
-7.6,16.7
-7.7,16.9
-7.7,16.7
-7.8,16.8
-7.9,17
-7.9,16.7
-8.1,16.2
-7.8,15.3
-7.7,15.3
-7.8,14.9
-7.9,15.4
-7.9,15.7
-8.2,15.5
-8.1,15.7
-8.1,15.6
-7.9,15
-8.3,15.4
-8.1,15.7
-8.3,16.7
-6.4,15.8
-5.2,14.4
-5.3,15
-5.3,14.7
-5.2,14.9
-5.4,15.6
-5.5,15.7
-5.4,15.7
-5.4,15.2
-5.8,15.5
-5.5,15.2
-9.3,19.4
-9.4,19.7
-9.5,19.9
-9.2,19.1
-9,19.3
-9.3,19.2
-8.6,18.7
-6.4,15
-5.2,13.2
-5.1,13.3
-5.1,13.3
-5.5,13.4
-6.7,16.6
-9.2,20.6
-9,20.1
-9.3,20.5
-8.6,19.7
-5,13.8
-5.6,14.9
-5.8,15.9
-9.8,21.2
-9.3,21.2
-9.4,21
-9,20.4
-9.4,20.2
-9.3,20
-9.4,18.9
-8.9,19
-9.2,19
-8.6,18.9
-9.1,19.2
-8.9,19.2
-7.7,17.8
-5.2,14.4
-5.9,15.2
-5.7,15.1
-5.4,14.6
-5.3,14.7
-7.6,17.6
-9.4,20.2
-9.6,20.7
-9.3,21
-9.2,21.5
-9.2,21.1
-9.7,21.3
-9.4,21.3
-9.5,21.4
-9.6,21.3
-9.4,21.1
-7.9,18.2
-5.4,14.6
-5.3,14.1
-5.6,13.6
-5.8,14.5
-7,16.5
-9.7,21.5
-9.3,21.5
-9.4,21.5
-7.6,18.4
-5.5,14.4
-5.3,14.8
-5.2,14.6
-5.3,14.5
-5.3,14.8
-5.5,15.7
-5.6,16
-5.4,16
-5.7,16.8
-5.5,16.6
-8.3,20.5
-9.5,22.8
-9.5,22.2
-8.4,20.4
-5.4,14.8
-5.4,14
-5.8,14.3
-5.9,14.4
-5.6,14.1
-5.3,15.1
-5.4,15.3
-5.7,15.2
-5.4,14.9
-5.4,15.5
-5.9,15.7
-5.3,16.2
-5.5,17.3
-5.7,17.3
-9.4,22.7
-9.9,23.7
-9.8,23.6
-9.7,23.4
-9.7,23.4
-8.6,22.4
-5.8,17.7
-5.5,16.6
-5.8,16.5
-5.2,15
-5,13.7
-5.1,13.8
-8.5,17
-8.6,17.9
-9,18.2
-8.7,19
-9.4,20.6
-9.3,21.1
-5.5,14.8
-5.6,14.9
-5.8,15
-5.7,15.4
-5.3,14.9
-5.4,15.1
-5.7,16
-5.6,15.5
-5.5,16.3
-5.5,16
-6.7,17.5
-9.6,21.7
-8.3,20.2
-5.4,15.9
-5.3,15
-5.5,15
-5.3,14.2
-5.7,14
-7.9,17.1
-9.4,18.8
-9.4,19.1
-6.6,15.2
-5.6,14.1
-5,13.1
-5.6,14.8
-5.3,15.1
-5.6,14.8
-5.3,16.2
-5.4,16.6
-5.4,16.3
-5.3,15.3
-5.6,16.6
-5.8,16.8
-9.8,22.8
-9.6,22.2
-7.2,18.8
-5.4,16.1
-5.3,15.5
-5,14.4
-7.9,17.8
-8.5,18.6
-4.9,12.8
-5.1,13.3
-9.1,19.1
-9,19.1
-9.3,19.9
-9.1,19.8
-7.2,16.8
-5.2,14.6
-6.8,17.6
-9.6,21.6
-9.9,21.8
-9.5,22.2
-9.7,22.1
-9.7,22.2
-9.6,22.1
-10,22.6
-9.5,22.4
-10,23
-9.7,23.1
-10,23.3
-10,23.4
-9.9,23.3
-10,22.7
-9.9,21.8
-9.8,21.6
-8.2,19.2
-5.9,15.9
-6,15.2
-5.7,14.2
-9.6,20.3
-9.3,20.1
-9.6,20.5
-9.4,21.1
-9.7,21.3
-9.4,21.1
-9.7,21.3
-9.3,21.3
-9.7,21.4
-9.4,21.2
-9.9,20.8
-9.6,21
-10,21.3
-7.2,17
-5.6,14.7
-6.2,15.5
-6,15.4
-5.6,15.1
-10,20.1
-9.3,19.6
-9.4,19.7
-8.9,20.2
-9,20.2
-8.6,19.8
-5.5,15.4
-5.3,15.1
-5.5,15.7
-5.4,15.9
-5.4,15.5
-5.1,14.9
-5.3,15.2
-5.4,14.9
-5.3,14.4
-5.5,15.3
-5.6,15.7
-5.5,15.8
-5.3,14.9
-5.5,15.3
-6.1,16.1
-9.8,21.1
-9.2,20.8
-9.1,20.8
-7.1,17.6
-5.3,14.8
-5.9,15.9
-6,15.9
-5.6,15.7
-5.9,16.7
-5.9,16.7
-5.9,17.6
-8.9,21.7
-9.7,23.5
-5.8,17.2
-5.7,16.4
-5.8,15.8
-5.5,15.4
-5.4,14.8
-5.6,15.1
-5.5,15.2
-5.4,15
-8.5,19.6
-9.1,20.7
-9,20.6
-9.6,21.2
-8.6,20.3
-5.2,14.1
-5.6,13.9
-5.3,14.1
-5.6,14.4
-5.5,14.4
-6.3,16.1
-5.3,15.2
-5.1,14.4
-5.1,14.2
-5.1,14.3
-5.3,15
-5,14.7
-5.2,15
-4.9,15.1
-4.9,14.5
-6.4,17.3
-9.2,21.5
-6.8,18.3
-5.1,15.9
-5.1,15.5
-5,14.9
-5,14
