Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NREL M2,0,Arvada,CO,US,39.91,-105.22,-7,1835,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,12,30,534.1199,539.0616,0,5.0636,3.986,63.04333333,815.9523,-11.8462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,13,30,491.3451,476.0824,0.6635,4.1115,5.3552,65.82,815.8019,-11.1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,14,30,386.7683,358.3371,0.9562,1.5005,5.5695,71.27,815.8576,-8.9366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,15,30,212.7589,196.1468,0,2.2731,4.4268,78.80666667,816.0316,-6.4153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,16,30,33.0092,30.3411,0,1.4624,5.2868,87.74333333,816.4567,-6.7847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,17,30,0,0,0,2.2324,2.1234,98.14,816.6472,-9.4317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,18,30,0,0,0,2.3891,0.542,109.0266667,816.6419,-10.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,19,30,0,0,0,2.5554,-0.1081,120.3366667,816.6753,-10.1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,20,30,0,0,0,2.7514,0.1031,131.82,816.5723,-10.6935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,21,30,0,0,0,1.5995,1.095,143.1366667,816.3595,-12.0482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,22,30,0,0,0,1.303,0.3607,153.6166667,816.1664,-12.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,2,23,30,0,0,0,2.1538,0.4065,161.3633333,815.8582,-12.3535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,0,30,0,0,0,2.2195,0.3614,162.12,815.6916,-13.4447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,1,30,0,0,0,1.5513,0.225,155.2333333,815.4135,-14.2822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,2,30,0,0,0.3029,1.8793,-0.7331,145.0233333,815.2183,-14.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,3,30,0,0,0,2.2226,0.6261,133.7866667,815.3248,-15.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,4,30,0,0,0,2.117,1.2197,122.2966667,814.878,-15.6193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,5,30,0,0,0,1.5115,1.3898,110.93,814.5668,-15.6027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,6,30,0,0,0.3035,2.57,0.9675,99.94666667,814.5174,-14.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,7,30,17.1123,16.8821,0.0718,1.9322,1.5914,89.26,814.4003,-13.4197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,8,30,53.6596,52.4205,0,0.9696,2.9747,80.22,814.3646,-14.1435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,9,30,189.4025,188.3547,1.34,1.5246,2.3457,72.37333333,814.1891,-12.7512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,10,30,304.2796,302.8526,0.0065,1.3556,3.9789,66.50666667,814.3791,-13.1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,11,30,407.2034,408.8214,0.5626,1.3291,5.6682,63.22333333,814.2192,-11.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,12,30,556.2425,553.014,0,1.6769,7.0171,62.93666667,813.2406,-12.7128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,13,30,524.574,506.8554,1.0618,3.0153,7.9043,65.69666667,812.1848,-10.4867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,14,30,283.0899,273.3616,0,2.4845,8.6439,71.13333333,811.5157,-8.4654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,15,30,212.2526,200.0801,0.586,2.7591,6.946,78.66666667,811.2931,-6.8761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,16,30,46.7053,43.9877,0,2.3062,6.7468,87.60333333,810.9767,-8.4193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,17,30,0,0,0,1.703,6.909,97.99666667,810.682,-9.8595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,18,30,0,0,0,2.0304,4.6155,108.88,810.3184,-10.7622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,19,30,0,0,1.006,2.396,3.7787,120.1966667,809.7652,-11.4655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,20,30,0,0,0.8024,2.7166,5.0552,131.6766667,809.0372,-12.5017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,21,30,0,0,0,4.7727,8.5857,142.9933333,808.4416,-13.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,22,30,0,0,0,6.9201,8.1588,153.47,807.6609,-12.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,3,23,30,0,0,0,2.3223,4.9703,161.23,806.9916,-11.7812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,0,30,0,0,0,1.6276,4.651,162.05,806.6017,-12.5092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,1,30,0,0,0.3973,1.3761,3.0809,155.2233333,805.7801,-12.0582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,2,30,0,0,0.5724,2.1418,4.6706,145.0466667,805.6978,-13.4212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,3,30,0,0,0,4.5143,5.9439,133.8133333,805.7268,-13.7728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,4,30,0,0,0,2.966,4.9604,122.3266667,805.2768,-13.7152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,5,30,0,0,0.2251,1.8985,4.1466,110.9533333,804.9903,-14.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,6,30,0,0,0.2318,2.2938,4.0092,99.96333333,804.882,-14.2752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,7,30,11.6767,11.4209,0.2082,5.3798,5.2545,89.26333333,806.3394,-14.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,8,30,128.6211,130.6347,0.3186,5.8927,5.1514,80.20666667,806.9683,-14.7673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,9,30,277.4635,284.4727,0,8.43,5.398,72.34,806.1496,-14.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,10,30,394.3041,410.804,0,7.7656,5.9743,66.44666667,806.0641,-14.5282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,4,11,30,527.3242,554.4963,0,6.8882,6.0022,63.13,806.0758,-13.7085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
