P [kW],Q [kVA]
60.9,-2.6
64,-2.1
86.3,-2.4
16.3,-0.56
0.00000436,-0.00000077
0.0000365,0.00000167
0.0000425,0.000000974
0.00000165,0.00000151
-0.00000049,0.000000482
0.0000069,-0.00000016
0.00000356,0.00000153
0.00000627,0.00000127
0.00000391,-0.0000013
0.00000275,0.00000107
0.00000427,0.000000385
-0.0000015,0.00000199
0.00000818,-0.0000021
0.00000431,-0.00000041
0.00000748,0.00000106
0.0000117,-0.00000023
0.00000412,0.000000429
1.18,-0.19
267,-7.2
343,-11
377,-11
380,-12
349,-12
299,-9.4
202,-6.3
67.3,-4
-0.35,-1
0.0000153,0.000000562
0.0000104,0.00000128
0.00000528,-0.0000013
0.00000886,0.000000317
0.00000181,-0.00000045
0.000000853,-0.000002
0.00000519,0.00000157
0.00000909,0.00000168
0.00000034,0.000000996
0.00000701,-0.00000012
0.00000719,-0.0000011
0.00000679,-0.00000039
0.00000356,-0.00000031
0.304,-0.41
-4.2,-3.9
333,-133
337,-180
265,-12
274,-13
14.8,-5.2
107,-0.43
264,-11
209,-3.8
0.0000199,-0.00000057
0.0000158,0.00000152
0.00000416,0.00000114
0.00000414,-0.00000012
0.00000221,-0.0000011
0.000006,-0.0000013
0.00000578,0.00000128
0.00000321,0.000000432
0.00000515,0.00000228
0.0000105,0.00000113
0.00000782,-0.0000013
0.00000433,0.000000347
0.00000789,-0.0000016
0.00000633,0.00000163
18.6,-1.2
87.9,-6
27.2,-2.5
2.04,-1.1
302,-10
354,-11
363,-12
299,-7.9
158,-5.3
15.4,-3.9
-3.2,-3.3
-4.3,-2.9
-4.3,-2.9
-4.4,-3
-4.4,-3.1
-4.4,-3.2
-4.5,-3.3
-4.4,-3.2
-4.4,-3.2
-4.5,-3.4
-4.5,-3.5
-4.5,-3.3
-4.4,-3
-4,-2.5
-0.0000043,-0.000002
-0.000014,-0.00000097
0.000000122,-0.0000028
0.0000037,-0.0000015
0.00000252,0.00000112
-0.0000011,-0.0000018
-0.0000085,-0.0000041
-0.0000045,3.98E-08
0.0000182,-0.00000075
-0.00000056,-0.00000039
0.0000114,0.000000611
