Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
WaveWatchIII,0,Hawaii,21.76 N,157.9 W,0,-10,0,-,s,deg,s,deg,s,W/m,s,m,-,0,v1.10
wave height,wave period,Year,Month,Day,Hour,Minute,,,,,,,,,,,,,
2.62,15.41,2019,1,23,12,0,,,,,,,,,,,,,
2.68,16.305,2019,1,23,15,0,,,,,,,,,,,,,
2.69,16.085,2019,1,23,18,0,,,,,,,,,,,,,
2.695,15.775,2019,1,23,21,0,,,,,,,,,,,,,
2.735,15.775,2019,1,24,0,0,,,,,,,,,,,,,
2.825,16.1,2019,1,24,3,0,,,,,,,,,,,,,
2.89,16.17,2019,1,24,6,0,,,,,,,,,,,,,
2.9,15.825,2019,1,24,9,0,,,,,,,,,,,,,
2.85,15.425,2019,1,24,12,0,,,,,,,,,,,,,
2.745,15.17,2019,1,24,15,0,,,,,,,,,,,,,
2.615,14.83,2019,1,24,18,0,,,,,,,,,,,,,
2.495,14.435,2019,1,24,21,0,,,,,,,,,,,,,
2.385,14.29,2019,1,25,0,0,,,,,,,,,,,,,
2.325,14.205,2019,1,25,3,0,,,,,,,,,,,,,
2.325,13.98,2019,1,25,6,0,,,,,,,,,,,,,
2.355,13.72,2019,1,25,9,0,,,,,,,,,,,,,
2.415,13.71,2019,1,25,12,0,,,,,,,,,,,,,
2.48,14.67,2019,1,25,15,0,,,,,,,,,,,,,
2.54,15.82,2019,1,25,18,0,,,,,,,,,,,,,
2.595,15.015,2019,1,25,21,0,,,,,,,,,,,,,
2.63,14.52,2019,1,26,0,0,,,,,,,,,,,,,
2.715,14.31,2019,1,26,3,0,,,,,,,,,,,,,
2.935,14.265,2019,1,26,6,0,,,,,,,,,,,,,
3.18,14.25,2019,1,26,9,0,,,,,,,,,,,,,
3.29,14.11,2019,1,26,12,0,,,,,,,,,,,,,
3.27,13.83,2019,1,26,15,0,,,,,,,,,,,,,
3.18,13.6,2019,1,26,18,0,,,,,,,,,,,,,
3.065,13.475,2019,1,26,21,0,,,,,,,,,,,,,
2.965,13.38,2019,1,27,0,0,,,,,,,,,,,,,
2.9,11.705,2019,1,27,3,0,,,,,,,,,,,,,
2.825,8.97,2019,1,27,6,0,,,,,,,,,,,,,
2.76,8.965,2019,1,27,9,0,,,,,,,,,,,,,
2.675,8.96,2019,1,27,12,0,,,,,,,,,,,,,
2.575,8.955,2019,1,27,15,0,,,,,,,,,,,,,
2.5,8.945,2019,1,27,18,0,,,,,,,,,,,,,
2.45,8.96,2019,1,27,21,0,,,,,,,,,,,,,
2.425,8.96,2019,1,28,0,0,,,,,,,,,,,,,
2.41,8.95,2019,1,28,3,0,,,,,,,,,,,,,
2.42,8.95,2019,1,28,6,0,,,,,,,,,,,,,
2.51,8.93,2019,1,28,9,0,,,,,,,,,,,,,
2.645,12.175,2019,1,28,12,0,,,,,,,,,,,,,
2.77,17.505,2019,1,28,15,0,,,,,,,,,,,,,
2.89,16.785,2019,1,28,18,0,,,,,,,,,,,,,
3.035,16.23,2019,1,28,21,0,,,,,,,,,,,,,
3.205,15.735,2019,1,29,0,0,,,,,,,,,,,,,
3.345,13.285,2019,1,29,3,0,,,,,,,,,,,,,
3.43,9.77,2019,1,29,6,0,,,,,,,,,,,,,
3.485,10.205,2019,1,29,9,0,,,,,,,,,,,,,
3.505,10.575,2019,1,29,12,0,,,,,,,,,,,,,
3.47,10.715,2019,1,29,15,0,,,,,,,,,,,,,
3.42,10.69,2019,1,29,18,0,,,,,,,,,,,,,
3.39,10.635,2019,1,29,21,0,,,,,,,,,,,,,
3.375,10.68,2019,1,30,0,0,,,,,,,,,,,,,
3.38,10.725,2019,1,30,3,0,,,,,,,,,,,,,
3.35,10.57,2019,1,30,6,0,,,,,,,,,,,,,
3.24,10.315,2019,1,30,9,0,,,,,,,,,,,,,
3.195,10.035,2019,1,30,12,0,,,,,,,,,,,,,
3.3,9.71,2019,1,30,15,0,,,,,,,,,,,,,
3.415,12.955,2019,1,30,18,0,,,,,,,,,,,,,
3.355,18.45,2019,1,30,21,0,,,,,,,,,,,,,
3.235,17.695,2019,1,31,0,0,,,,,,,,,,,,,
3.16,17.145,2019,1,31,3,0,,,,,,,,,,,,,
3.155,16.59,2019,1,31,6,0,,,,,,,,,,,,,
3.22,16.405,2019,1,31,9,0,,,,,,,,,,,,,
3.3,16.38,2019,1,31,12,0,,,,,,,,,,,,,
3.375,16.465,2019,1,31,15,0,,,,,,,,,,,,,
3.515,16.59,2019,1,31,18,0,,,,,,,,,,,,,
3.78,13.87,2019,1,31,21,0,,,,,,,,,,,,,
3.955,9.24,2019,2,1,0,0,,,,,,,,,,,,,
3.92,9.57,2019,2,1,3,0,,,,,,,,,,,,,
3.86,9.74,2019,2,1,6,0,,,,,,,,,,,,,
3.82,9.865,2019,2,1,9,0,,,,,,,,,,,,,
3.75,9.965,2019,2,1,12,0,,,,,,,,,,,,,
3.615,10.08,2019,2,1,15,0,,,,,,,,,,,,,
3.47,10.15,2019,2,1,18,0,,,,,,,,,,,,,
3.32,10.185,2019,2,1,21,0,,,,,,,,,,,,,
3.225,10.18,2019,2,2,0,0,,,,,,,,,,,,,
3.205,10.115,2019,2,2,3,0,,,,,,,,,,,,,
3.19,9.95,2019,2,2,6,0,,,,,,,,,,,,,
3.1,9.755,2019,2,2,9,0,,,,,,,,,,,,,
2.96,9.61,2019,2,2,12,0,,,,,,,,,,,,,
2.83,9.45,2019,2,2,15,0,,,,,,,,,,,,,
2.795,9.24,2019,2,2,18,0,,,,,,,,,,,,,
2.79,9.065,2019,2,2,21,0,,,,,,,,,,,,,
2.745,11.83,2019,2,3,0,0,,,,,,,,,,,,,
2.68,16.565,2019,2,3,3,0,,,,,,,,,,,,,
